Klub,Kratica,St_tekem,Povprecje,Na_40_min,BlocksFavour,Sezona
Union Olimpija,LJU,10,0.90,0.18,9,2003
KRKA Novo Mesto,MES,7,1.14,0.23,8,2003
Alba Berlin,BER,7,0.86,0.17,6,2003
Ulker,ULK,11,3.91,0.78,43,2004
Maccabi Elite,TEL,11,3.82,0.76,42,2004
Benetton Basket,TRE,11,2.82,0.56,31,2004
Prokom Trefl Sopot,SOP,10,3.00,0.60,30,2004
Climamio Bologna,FOR,10,2.80,0.55,28,2004
Panathinaikos,PAN,13,2.15,0.42,28,2004
CSKA Moscow,CSK,11,2.45,0.49,27,2004
Montepaschi Siena,SIE,10,2.70,0.54,27,2004
AEK Athens,AEK,10,2.50,0.50,25,2004
Pau-Orthez,PAU,7,3.57,0.71,25,2004
Tau Ceramica,BAS,13,1.77,0.35,23,2004
Unicaja,MAL,7,3.29,0.66,23,2004
Zalgiris,ZAL,10,2.30,0.45,23,2004
Scavolini Pesaro,PES,11,2.00,0.39,22,2004
FC Barcelona,BAR,10,2.10,0.42,21,2004
Olympiacos,OLY,7,3.00,0.60,21,2004
Efes Pilsen,IST,12,1.58,0.31,19,2004
Real Madrid,MAD,10,1.90,0.37,19,2004
Partizan,PAR,7,2.29,0.46,16,2004
Adecco Estudiantes,EST,7,1.86,0.37,13,2004
Asvel Basket,ASV,7,1.57,0.31,11,2004
Cibona VIP,CIB,10,0.80,0.16,8,2004
Opel Skyliners,FRA,7,1.14,0.23,8,2004
Union Olimpija,LJU,7,0.57,0.11,4,2004
Real Madrid,MAD,12,4.00,0.80,48,2005
Maccabi Elite,TEL,12,3.17,0.63,38,2005
Winterthur FC Barcelona,BAR,11,3.18,0.64,35,2005
Lietuvos Rytas,LIE,10,3.00,0.59,30,2005
Tau Ceramica,BAS,14,2.07,0.41,29,2005
Zalgiris,ZAL,10,2.70,0.54,27,2005
Benetton Basket,TRE,10,2.60,0.51,26,2005
Climamio Bologna,FOR,10,2.30,0.45,23,2005
Unicaja,MAL,10,2.30,0.46,23,2005
CSKA Moscow,CSK,12,1.83,0.36,22,2005
Panathinaikos,PAN,11,2.00,0.40,22,2005
Olympiacos,OLY,12,1.67,0.33,20,2005
Strasbourg,STR,7,2.86,0.57,20,2005
Ulker,ULK,10,2.00,0.40,20,2005
Efes Pilsen,IST,11,1.45,0.29,16,2005
Cibona VIP,CIB,10,1.50,0.30,15,2005
Pau-Orthez,PAU,7,1.86,0.37,13,2005
Partizan,PAR,7,1.71,0.34,12,2005
Montepaschi Siena,SIE,7,1.71,0.34,12,2005
Prokom Trefl Sopot,SOP,7,1.57,0.31,11,2005
Union Olimpija,LJU,7,1.43,0.29,10,2005
AEK Athens,AEK,7,1.00,0.20,7,2005
AJ Milano,MIL,7,1.00,0.19,7,2005
GHP Bamberg,BAM,10,0.40,0.08,4,2005
Winterthur FC Barcelona,BAR,12,2.75,0.54,33,2006
Dynamo Moscow,DYN,10,3.00,0.55,30,2006
Olympiacos,OLY,11,2.73,0.55,30,2006
Unicaja,MAL,13,2.08,0.40,27,2006
Efes Pilsen,IST,10,2.60,0.52,26,2006
Panathinaikos,PAN,11,2.36,0.47,26,2006
Partizan,PAR,10,2.50,0.50,25,2006
Tau Ceramica,BAS,12,2.00,0.40,24,2006
Pau-Orthez,PAU,10,2.40,0.46,24,2006
CSKA Moscow,CSK,12,1.92,0.38,23,2006
Le Mans,LEM,7,3.29,0.66,23,2006
Prokom Trefl Sopot,SOP,10,2.30,0.45,23,2006
Benetton Basket,TRE,10,2.30,0.45,23,2006
Eldo Napoli,NAP,7,3.14,0.62,22,2006
Maccabi Elite,TEL,12,1.83,0.36,22,2006
Aris TT Bank,ARI,10,2.10,0.42,21,2006
Lottomatica Roma,ROM,10,2.00,0.40,20,2006
DKV Joventut,JOV,10,1.80,0.36,18,2006
RheinEnergie,COL,7,2.43,0.49,17,2006
Cibona,CIB,7,1.86,0.35,13,2006
Union Olimpija,LJU,7,1.43,0.29,10,2006
Fenerbahce Ulker,ULK,7,1.43,0.28,10,2006
Zalgiris,ZAL,7,1.14,0.23,8,2006
Climamio Bologna,FOR,7,0.57,0.11,4,2006
AXA FC Barcelona,BAR,12,4.08,0.82,49,2007
Montepaschi Siena,SIE,11,3.36,0.67,37,2007
Maccabi Elite,TEL,12,3.00,0.59,36,2007
Partizan Igokea,PAR,12,2.83,0.56,34,2007
Fenerbahce Ulker,ULK,11,3.09,0.62,34,2007
CSKA Moscow,CSK,13,2.46,0.49,32,2007
Unicaja,MAL,10,2.90,0.58,29,2007
Lottomatica Roma,ROM,10,2.80,0.56,28,2007
Olympiacos,OLY,12,2.25,0.45,27,2007
Tau Ceramica,BAS,12,2.00,0.40,24,2007
Virtus VidiVici,VIR,7,3.43,0.69,24,2007
Efes Pilsen,IST,10,2.10,0.41,21,2007
Aris TT Bank,ARI,10,2.00,0.40,20,2007
Chorale Roanne,ROA,7,2.86,0.57,20,2007
Union Olimpija,LJU,7,2.71,0.54,19,2007
Le Mans,LEM,7,2.57,0.51,18,2007
Zalgiris,ZAL,10,1.80,0.36,18,2007
Lietuvos Rytas,LIE,10,1.60,0.32,16,2007
Real Madrid,MAD,10,1.30,0.26,13,2007
Panathinaikos,PAN,10,1.30,0.26,13,2007
AJ Milano,MIL,7,1.57,0.31,11,2007
Cibona,CIB,7,1.43,0.29,10,2007
Brose Baskets,BAM,7,1.29,0.26,9,2007
Prokom Trefl Sopot,SOP,7,1.29,0.26,9,2007
CSKA Moscow,CSK,11,3.64,0.73,40,2008
Partizan,PAR,10,3.90,0.77,39,2008
Regal FC Barcelona,BAR,11,3.45,0.69,38,2008
Tau Ceramica,BAS,11,3.18,0.63,35,2008
Panathinaikos,PAN,11,3.00,0.60,33,2008
Olympiacos,OLY,10,2.80,0.55,28,2008
Unicaja,MAL,8,3.38,0.66,27,2008
Montepaschi Siena,SIE,10,2.00,0.40,20,2008
Maccabi Electra,TEL,8,2.38,0.47,19,2008
Fenerbahce Ulker,ULK,8,2.00,0.40,16,2008
Zalgiris,ZAL,5,3.00,0.60,15,2008
Cibona,CIB,8,1.75,0.35,14,2008
SLUC Nancy,NAN,5,2.60,0.52,13,2008
Asseco Prokom,SOP,8,1.63,0.32,13,2008
Union Olimpija,LJU,5,2.40,0.45,12,2008
Alba Berlin,BER,8,1.38,0.27,11,2008
Efes Pilsen,IST,5,2.20,0.44,11,2008
Le Mans,LEM,5,2.20,0.43,11,2008
DKV Joventut,JOV,5,2.00,0.40,10,2008
Lottomatica Roma,ROM,8,1.25,0.25,10,2008
AJ Milano,MIL,8,1.00,0.20,8,2008
Panionios On Telecoms,NIO,5,1.60,0.32,8,2008
Air Avellino,AVE,5,1.40,0.27,7,2008
Real Madrid,MAD,10,0.70,0.14,7,2008
Regal FC Barcelona,BAR,10,3.90,0.77,39,2009
Maccabi Electra,TEL,10,3.60,0.71,36,2009
Partizan,PAR,11,3.09,0.61,34,2009
Asseco Prokom,SOP,10,3.30,0.66,33,2009
CSKA Moscow,CSK,11,2.82,0.56,31,2009
Zalgiris Kaunas,ZAL,8,3.75,0.75,30,2009
Cibona,CIB,8,3.38,0.66,27,2009
Olympiacos,OLY,12,2.25,0.44,27,2009
Panathinaikos,PAN,8,2.88,0.57,23,2009
Maroussi BC,MAR,8,2.63,0.53,21,2009
Real Madrid,MAD,10,2.00,0.40,20,2009
Caja Laboral,BAS,10,1.80,0.36,18,2009
BC Khimki,KHI,8,2.13,0.42,17,2009
Efes Pilsen,IST,8,2.00,0.39,16,2009
Unicaja,MAL,8,2.00,0.40,16,2009
Fenerbahce Ulker,ULK,5,3.00,0.59,15,2009
Montepaschi Siena,SIE,8,1.38,0.27,11,2009
Asvel Basket,ASV,5,2.00,0.40,10,2009
EWE Baskets,OLD,5,2.00,0.40,10,2009
Union Olimpija,LJU,5,1.80,0.36,9,2009
Lottomatica Roma,ROM,5,1.80,0.36,9,2009
Entente Orleanaise,ORL,5,1.60,0.32,8,2009
Lietuvos Rytas,LIE,5,1.00,0.20,5,2009
Armani Jeans Milano,MIL,5,1.00,0.20,5,2009
Real Madrid,MAD,11,3.00,0.60,33,2010
Maccabi Electra Tel Aviv,TEL,10,3.30,0.66,33,2010
Lottomatica Roma,ROM,8,4.00,0.80,32,2010
Olympiacos Piraeus,OLY,10,3.10,0.62,31,2010
Panathinaikos Athens,PAN,11,2.82,0.56,31,2010
Regal Barcelona,BAR,10,3.00,0.59,30,2010
Power Electronics Valencia,PAM,11,2.45,0.49,27,2010
Partizan mt:s Belgrade,PAR,8,3.38,0.68,27,2010
Lietuvos Rytas Vilnius,LIE,8,3.13,0.62,25,2010
Montepaschi Siena,SIE,12,2.00,0.40,24,2010
Zalgiris Kaunas,ZAL,8,2.75,0.54,22,2010
Caja Laboral Vitoria,BAS,10,1.90,0.38,19,2010
Unicaja Malaga,MAL,8,2.13,0.42,17,2010
Union Olimpija Ljubljana,LJU,8,2.00,0.39,16,2010
Brose Baskets Bamberg,BAM,5,3.00,0.59,15,2010
Cholet Basket,CHO,5,3.00,0.60,15,2010
Fenerbahce Ulker Istanbul,ULK,8,1.75,0.34,14,2010
CSKA Moscow,CSK,5,2.20,0.44,11,2010
Asseco Prokom Gdynia,SOP,5,2.20,0.43,11,2010
Armani Jeans  Milano,MIL,5,2.00,0.40,10,2010
Efes Pilsen Istanbul,IST,8,1.13,0.21,9,2010
Khimki Moscow Region,KHI,5,1.80,0.36,9,2010
Spirou Charleroi,CHA,5,1.60,0.32,8,2010
Cibona Zagreb,CIB,5,0.60,0.12,3,2010
CSKA Moscow,CSK,10,3.90,0.77,39,2011
FC Barcelona Regal,BAR,11,2.91,0.58,32,2011
Maccabi Electra Tel Aviv,TEL,11,2.91,0.58,32,2011
Olympiacos Piraeus,OLY,11,2.64,0.52,29,2011
Real Madrid,MAD,8,3.50,0.70,28,2011
Unicaja Malaga,MAL,8,3.50,0.70,28,2011
Unics Kazan,UNK,10,2.60,0.51,26,2011
Panathinaikos Athens,PAN,11,2.27,0.45,25,2011
Gescrap Bilbao Basket,BIL,10,2.40,0.48,24,2011
Fenerbahce Ulker,ULK,8,2.88,0.57,23,2011
Montepaschi Siena,SIE,10,2.20,0.44,22,2011
Anadolu Efes Istanbul,IST,8,2.50,0.50,20,2011
Zalgiris Kaunas,ZAL,8,2.25,0.44,18,2011
EA7 Emporio Armani,MIL,8,2.13,0.42,17,2011
Caja Laboral,BAS,5,3.00,0.60,15,2011
Bennet Cantu,CTU,8,1.75,0.34,14,2011
Galatasaray Medical Park,GAL,8,1.50,0.30,12,2011
Partizan mt:s Belgrade,PAR,5,2.40,0.48,12,2011
Union Olimpija Ljubljana,LJU,5,2.00,0.40,10,2011
SLUC Nancy,NAN,5,2.00,0.40,10,2011
Brose Baskets,BAM,5,1.80,0.36,9,2011
Belgacom Spirou Charleroi,CHA,5,1.80,0.36,9,2011
Asseco Prokom Gdynia,SOP,5,1.80,0.35,9,2011
KK Zagreb,ZAG,5,1.00,0.20,5,2011
Maccabi Electra Tel Aviv,TEL,14,4.29,0.86,60,2012
Olympiacos Piraeus,OLY,15,3.67,0.73,55,2012
Panathinaikos Athens,PAN,15,3.27,0.65,49,2012
FC Barcelona Regal,BAR,15,3.20,0.63,48,2012
Real Madrid,MAD,15,3.13,0.62,47,2012
Unicaja Malaga,MAL,12,3.25,0.65,39,2012
CSKA Moscow,CSK,14,2.71,0.53,38,2012
Khimki Moscow Region,KHI,12,2.92,0.58,35,2012
Brose Baskets Bamberg,BAM,12,2.75,0.54,33,2012
Besiktas JK Istanbul,BES,12,2.42,0.48,29,2012
Laboral Kutxa Vitoria,BAS,14,2.00,0.40,28,2012
Montepaschi Siena,SIE,12,2.33,0.46,28,2012
Anadolu Efes Istanbul,IST,15,1.47,0.29,22,2012
Fenerbahce Ulker Istanbul,ULK,12,1.67,0.33,20,2012
Alba Berlin,BER,12,1.58,0.32,19,2012
Mapooro Cantu,CTU,5,3.40,0.68,17,2012
Zalgiris Kaunas,ZAL,12,1.33,0.26,16,2012
Elan Chalon-Sur-Saone,CHL,5,2.60,0.52,13,2012
Lietuvos Rytas Vilnius,LIE,5,2.60,0.52,13,2012
Partizan mt:s Belgrade,PAR,5,2.40,0.47,12,2012
Cedevita Zagreb,CED,5,2.00,0.40,10,2012
EA7 Emporio Armani Milan,MIL,5,2.00,0.40,10,2012
Asseco Prokom Gdynia,SOP,5,2.00,0.39,10,2012
Union Olimpija Ljubljana,LJU,5,1.00,0.20,5,2012
Laboral Kutxa Vitoria,BAS,12,3.92,0.78,47,2013
Real Madrid,MAD,15,3.13,0.63,47,2013
FC Barcelona,BAR,13,3.15,0.62,41,2013
Olympiacos Piraeus,OLY,15,2.60,0.52,39,2013
Panathinaikos Athens,PAN,15,2.60,0.50,39,2013
CSKA Moscow,CSK,15,2.53,0.50,38,2013
Maccabi Electra Tel Aviv,TEL,16,2.38,0.47,38,2013
Unicaja Malaga,MAL,12,3.08,0.62,37,2013
Lokomotiv Kuban Krasnodar,TIV,12,2.83,0.57,34,2013
Galatasaray Liv Hospital Istanbul,GAL,14,2.00,0.40,28,2013
EA7 Emporio Armani Milan,MIL,14,2.00,0.40,28,2013
Anadolu Efes Istanbul,IST,12,2.25,0.45,27,2013
Partizan NIS Belgrade,PAR,12,2.00,0.40,24,2013
Zalgiris Kaunas,ZAL,12,1.92,0.38,23,2013
Fenerbahce Ulker Istanbul,ULK,12,1.33,0.27,16,2013
FC Bayern Munich,MUN,12,1.17,0.23,14,2013
Budivelnik Kiev,NIK,5,2.80,0.56,14,2013
Strasbourg,STR,5,2.40,0.48,12,2013
Brose Baskets Bamberg,BAM,5,2.20,0.44,11,2013
JSF Nanterre,NTR,5,2.20,0.44,11,2013
Stelmet Zielona Gora,GSS,5,1.80,0.36,9,2013
Crvena Zvezda Telekom Belgrade,RED,5,1.80,0.36,9,2013
Montepaschi Siena,SIE,5,1.80,0.36,9,2013
Lietuvos Rytas Vilnius,LIE,5,1.60,0.32,8,2013
Maccabi Electra Tel Aviv,TEL,14,5.14,1.02,72,2014
CSKA Moscow,CSK,15,4.07,0.80,61,2014
Olympiacos Piraeus,OLY,16,3.19,0.63,51,2014
Laboral Kutxa Vitoria,BAS,12,3.75,0.75,45,2014
Fenerbahce Ulker Istanbul,ULK,14,2.86,0.56,40,2014
Crvena Zvezda Telekom Belgrade,RED,12,3.25,0.64,39,2014
Zalgiris Kaunas,ZAL,12,3.00,0.60,36,2014
FC Barcelona,BAR,14,2.50,0.50,35,2014
Nizhny Novgorod,NOV,12,2.83,0.56,34,2014
Real Madrid,MAD,14,2.29,0.46,32,2014
EA7 Emporio Armani Milan,MIL,12,2.42,0.48,29,2014
Anadolu Efes Istanbul,IST,14,2.00,0.40,28,2014
Unicaja Malaga,MAL,12,2.33,0.47,28,2014
Panathinaikos Athens,PAN,14,2.00,0.40,28,2014
ALBA Berlin,BER,12,2.17,0.43,26,2014
Dinamo Banco di Sardegna Sassari,SAS,5,4.20,0.84,21,2014
Unics Kazan,UNK,5,4.20,0.84,21,2014
Galatasaray Liv Hospital Istanbul,GAL,12,1.50,0.30,18,2014
Limoges CSP,LMG,5,2.60,0.52,13,2014
PGE Turow Zgorzelec,ZGO,5,2.60,0.52,13,2014
Neptunas Klaipeda,KLA,5,2.20,0.44,11,2014
FC Bayern Munich,MUN,5,2.00,0.40,10,2014
Valencia Basket,PAM,5,2.00,0.40,10,2014
Cedevita Zagreb,CED,5,1.00,0.20,5,2014
Khimki Moscow Region,KHI,12,4.08,0.82,49,2015
Fenerbahce Istanbul,ULK,13,3.54,0.71,46,2015
Laboral Kutxa Vitoria Gasteiz,BAS,14,3.21,0.63,45,2015
Real Madrid,MAD,14,2.93,0.59,41,2015
Lokomotiv Kuban Krasnodar,TIV,16,2.56,0.51,41,2015
CSKA Moscow,CSK,14,2.86,0.56,40,2015
Anadolu Efes Istanbul,IST,12,3.17,0.63,38,2015
Crvena Zvezda Telekom Belgrade,RED,14,2.57,0.51,36,2015
Olympiacos Piraeus,OLY,12,2.58,0.51,31,2015
Brose Baskets Bamberg,BAM,12,2.25,0.45,27,2015
Darussafaka Dogus Istanbul,DAR,12,2.17,0.43,26,2015
Panathinaikos Athens,PAN,14,1.79,0.35,25,2015
Dinamo Banco di Sardegna Sassari,SAS,5,4.40,0.86,22,2015
Zalgiris Kaunas,ZAL,12,1.83,0.37,22,2015
FC Bayern Munich,MUN,5,4.00,0.80,20,2015
Unicaja Malaga,MAL,12,1.58,0.32,19,2015
FC Barcelona Lassa,BAR,15,1.20,0.24,18,2015
Cedevita Zagreb,CED,12,1.50,0.30,18,2015
Maccabi FOX Tel Aviv,TEL,5,3.20,0.64,16,2015
Strasbourg,STR,5,2.20,0.44,11,2015
Stelmet Zielona Gora,GSS,5,2.00,0.40,10,2015
Pinar Karsiyaka Izmir,KSK,5,1.80,0.36,9,2015
Limoges CSP,LMG,5,1.60,0.32,8,2015
EA7 Emporio Armani Milan,MIL,5,1.60,0.32,8,2015
Olympiacos Piraeus,OLY,19,3.37,0.67,64,2016
Fenerbahce Istanbul,ULK,17,3.59,0.71,61,2016
Galatasaray Odeabank Istanbul,GAL,15,3.53,0.71,53,2016
Baskonia Vitoria Gasteiz,BAS,17,2.94,0.59,50,2016
Real Madrid,MAD,18,2.72,0.54,49,2016
CSKA Moscow,CSK,17,2.76,0.55,47,2016
Panathinaikos Superfoods Athens,PAN,16,2.88,0.57,46,2016
Anadolu Efes Istanbul,IST,18,2.44,0.48,44,2016
Brose Bamberg,BAM,15,2.73,0.55,41,2016
Darussafaka Dogus Istanbul,DAR,17,2.35,0.47,40,2016
Maccabi FOX Tel Aviv,TEL,15,2.00,0.40,30,2016
Unics Kazan,UNK,15,2.00,0.40,30,2016
Zalgiris Kaunas,ZAL,15,1.80,0.36,27,2016
FC Barcelona Lassa,BAR,15,1.73,0.34,26,2016
Crvena Zvezda mts Belgrade,RED,15,1.53,0.31,23,2016
EA7 Emporio Armani Milan,MIL,15,1.33,0.26,20,2016
Real Madrid,MAD,18,3.00,0.60,54,2017
Fenerbahce Dogus Istanbul,ULK,18,2.94,0.58,53,2017
Khimki Moscow Region,KHI,17,3.00,0.60,51,2017
Anadolu Efes Istanbul,IST,15,3.33,0.67,50,2017
KIROLBET Baskonia Vitoria Gasteiz,BAS,17,2.88,0.58,49,2017
AX Armani Exchange Olimpia Milan,MIL,15,3.20,0.63,48,2017
CSKA Moscow,CSK,17,2.71,0.54,46,2017
Panathinaikos Superfoods Athens,PAN,17,2.47,0.49,42,2017
Maccabi FOX Tel Aviv,TEL,15,2.80,0.56,42,2017
Crvena Zvezda mts Belgrade,RED,15,2.47,0.49,37,2017
Zalgiris Kaunas,ZAL,19,1.89,0.37,36,2017
Unicaja Malaga,MAL,15,2.27,0.45,34,2017
Olympiacos Piraeus,OLY,17,1.94,0.38,33,2017
Valencia Basket,PAM,15,2.07,0.41,31,2017
FC Barcelona Lassa,BAR,15,1.93,0.39,29,2017
Brose Bamberg,BAM,15,1.40,0.28,21,2017
