vrsta_podatka,sezona,kje,klub,kratica,st_tekem,podatek,povprecje,na_40_min
podaje,2001,doma,Pau-Orthez,PAU,7,144,7.0,4.11
podaje,2001,doma,CSKA Moscow,CSK,10,142,10.0,2.84
podaje,2001,doma,FC Barcelona,BAR,10,139,10.0,2.78
podaje,2001,doma,Olympiacos,OLY,10,139,10.0,2.71
podaje,2001,doma,Skipper Bologna,FOR,10,134,10.0,2.65
podaje,2001,doma,Panathinaikos,PAN,11,129,11.0,2.32
podaje,2001,doma,Asvel Basket,ASV,7,126,7.0,3.54
podaje,2001,doma,Union Olimpija,LJU,10,119,10.0,2.38
podaje,2001,doma,Real Madrid,MAD,10,119,10.0,2.38
podaje,2001,doma,Maccabi Elite,TEL,10,115,10.0,2.56
podaje,2001,doma,Cibona VIP,CIB,7,114,7.0,3.2
podaje,2001,doma,Efes Pilsen,IST,10,114,10.0,2.28
podaje,2001,doma,AEK Athens,AEK,10,106,10.0,2.09
podaje,2001,doma,Idea Slask,WRO,7,102,7.0,2.86
podaje,2001,doma,Telindus Oostende,OOS,7,93,7.0,2.61
podaje,2001,doma,KRKA Novo Mesto,MES,7,92,7.0,2.63
podaje,2001,doma,Zalgiris,ZAL,7,91,7.0,2.6
podaje,2001,doma,Kinder Bologna,VIR,11,90,11.0,1.64
podaje,2001,doma,Alba Berlin,BER,7,85,7.0,2.43
podaje,2001,doma,Scavolini Pesaro,PES,10,81,10.0,1.62
podaje,2001,doma,Unicaja,MAL,7,78,7.0,2.23
podaje,2001,doma,Peristeri,PER,7,77,7.0,2.2
podaje,2001,doma,KK Zadar,ZAD,7,74,7.0,2.09
podaje,2001,doma,Spirou Basket,CHA,7,70,7.0,2.0
podaje,2001,doma,Kinder London Towers,LON,7,69,7.0,1.97
podaje,2001,doma,Opel Skyliners,FRA,7,68,7.0,1.94
podaje,2001,doma,Partizan,PAR,7,62,7.0,1.74
podaje,2001,doma,KK Buducnost,BUD,7,43,7.0,1.3
podaje,2002,doma,Benetton Basket,TRE,10,191,10.0,3.82
podaje,2002,doma,CSKA Moscow,CSK,10,182,10.0,3.64
podaje,2002,doma,Asvel Basket,ASV,10,171,10.0,3.38
podaje,2002,doma,Efes Pilsen,IST,10,159,10.0,3.1
podaje,2002,doma,Maccabi Elite,TEL,10,158,10.0,3.12
podaje,2002,doma,Tau Ceramica,BAS,10,150,10.0,3.0
podaje,2002,doma,Cibona VIP,CIB,10,145,10.0,2.83
podaje,2002,doma,Montepaschi Siena,SIE,12,134,12.0,2.23
podaje,2002,doma,Ulker,ULK,10,132,10.0,2.61
podaje,2002,doma,Skipper Bologna,FOR,10,128,10.0,2.53
podaje,2002,doma,Unicaja,MAL,10,128,10.0,2.56
podaje,2002,doma,Pau-Orthez,PAU,7,126,7.0,3.6
podaje,2002,doma,Panathinaikos,PAN,10,123,10.0,2.46
podaje,2002,doma,FC Barcelona,BAR,12,122,12.0,2.03
podaje,2002,doma,Zalgiris,ZAL,7,115,7.0,3.29
podaje,2002,doma,Olympiacos,OLY,10,112,10.0,2.24
podaje,2002,doma,Alba Berlin,BER,7,105,7.0,3.0
podaje,2002,doma,Union Olimpija,LJU,10,102,10.0,2.04
podaje,2002,doma,Idea Slask,WRO,7,92,7.0,2.63
podaje,2002,doma,KK Buducnost,BUD,7,89,7.0,2.5
podaje,2002,doma,Virtus Bologna,VIR,10,80,10.0,1.6
podaje,2002,doma,Partizan,PAR,7,78,7.0,2.23
podaje,2002,doma,AEK Athens,AEK,7,71,7.0,1.99
podaje,2002,doma,Real Madrid,MAD,7,68,7.0,1.94
podaje,2003,doma,Maccabi Elite,TEL,12,235,12.0,4.22
podaje,2003,doma,CSKA Moscow,CSK,10,199,10.0,3.93
podaje,2003,doma,Pamesa Valencia,PAM,10,190,10.0,3.75
podaje,2003,doma,Pau-Orthez,PAU,10,184,10.0,3.59
podaje,2003,doma,Tau Ceramica,BAS,10,166,10.0,3.32
podaje,2003,doma,Benetton Basket,TRE,10,159,10.0,3.14
podaje,2003,doma,Zalgiris,ZAL,10,153,10.0,3.06
podaje,2003,doma,Montepaschi Siena,SIE,12,152,12.0,2.51
podaje,2003,doma,Skipper Bologna,FOR,10,151,10.0,2.91
podaje,2003,doma,Efes Pilsen,IST,10,144,10.0,2.88
podaje,2003,doma,FC Barcelona,BAR,10,135,10.0,2.67
podaje,2003,doma,Cibona VIP,CIB,10,133,10.0,2.66
podaje,2003,doma,Ulker,ULK,10,129,10.0,2.58
podaje,2003,doma,Panathinaikos,PAN,10,123,10.0,2.46
podaje,2003,doma,Union Olimpija,LJU,10,112,10.0,2.21
podaje,2003,doma,Olympiacos,OLY,10,109,10.0,2.15
podaje,2003,doma,Asvel Basket,ASV,7,107,7.0,3.06
podaje,2003,doma,AEK Athens,AEK,7,97,7.0,2.77
podaje,2003,doma,Alba Berlin,BER,7,92,7.0,2.63
podaje,2003,doma,Unicaja,MAL,7,89,7.0,2.54
podaje,2003,doma,Idea Slask,WRO,7,87,7.0,2.49
podaje,2003,doma,KRKA Novo Mesto,MES,7,86,7.0,2.46
podaje,2003,doma,Partizan,PAR,7,67,7.0,1.91
podaje,2003,doma,Lottomatica Roma,ROM,7,64,7.0,1.83
podaje,2004,doma,Maccabi Elite,TEL,13,250,13.0,3.85
podaje,2004,doma,CSKA Moscow,CSK,13,175,13.0,2.64
podaje,2004,doma,AEK Athens,AEK,10,165,10.0,3.3
podaje,2004,doma,Tau Ceramica,BAS,11,165,11.0,3.0
podaje,2004,doma,Zalgiris,ZAL,10,154,10.0,3.04
podaje,2004,doma,Montepaschi Siena,SIE,10,150,10.0,2.96
podaje,2004,doma,Ulker,ULK,11,145,11.0,2.64
podaje,2004,doma,Climamio Bologna,FOR,10,143,10.0,2.86
podaje,2004,doma,Efes Pilsen,IST,11,141,11.0,2.56
podaje,2004,doma,Panathinaikos,PAN,12,139,12.0,2.27
podaje,2004,doma,Prokom Trefl Sopot,SOP,10,137,10.0,2.71
podaje,2004,doma,Benetton Basket,TRE,11,133,11.0,2.42
podaje,2004,doma,Cibona VIP,CIB,10,131,10.0,2.59
podaje,2004,doma,Real Madrid,MAD,10,129,10.0,2.55
podaje,2004,doma,Pau-Orthez,PAU,7,126,7.0,3.6
podaje,2004,doma,Scavolini Pesaro,PES,11,120,11.0,2.16
podaje,2004,doma,Asvel Basket,ASV,7,106,7.0,2.98
podaje,2004,doma,Adecco Estudiantes,EST,7,100,7.0,2.86
podaje,2004,doma,FC Barcelona,BAR,10,99,10.0,1.98
podaje,2004,doma,Opel Skyliners,FRA,7,96,7.0,2.74
podaje,2004,doma,Olympiacos,OLY,7,89,7.0,2.5
podaje,2004,doma,Unicaja,MAL,7,85,7.0,2.43
podaje,2004,doma,Partizan,PAR,7,85,7.0,2.39
podaje,2004,doma,Union Olimpija,LJU,7,70,7.0,2.0
podaje,2005,doma,Maccabi Elite,TEL,13,226,13.0,3.41
podaje,2005,doma,Winterthur FC Barcelona,BAR,14,201,14.0,2.87
podaje,2005,doma,CSKA Moscow,CSK,12,180,12.0,3.0
podaje,2005,doma,Tau Ceramica,BAS,11,169,11.0,3.07
podaje,2005,doma,Zalgiris,ZAL,10,156,10.0,3.12
podaje,2005,doma,Panathinaikos,PAN,12,152,12.0,2.53
podaje,2005,doma,Real Madrid,MAD,11,147,11.0,2.64
podaje,2005,doma,Climamio Bologna,FOR,10,143,10.0,2.86
podaje,2005,doma,Olympiacos,OLY,11,138,11.0,2.48
podaje,2005,doma,Benetton Basket,TRE,10,136,10.0,2.69
podaje,2005,doma,Unicaja,MAL,10,130,10.0,2.54
podaje,2005,doma,GHP Bamberg,BAM,10,129,10.0,2.58
podaje,2005,doma,Efes Pilsen,IST,11,121,11.0,2.2
podaje,2005,doma,Lietuvos Rytas,LIE,10,116,10.0,2.32
podaje,2005,doma,Ulker,ULK,10,115,10.0,2.3
podaje,2005,doma,Prokom Trefl Sopot,SOP,7,111,7.0,3.17
podaje,2005,doma,Strasbourg,STR,7,106,7.0,2.98
podaje,2005,doma,Pau-Orthez,PAU,7,105,7.0,3.0
podaje,2005,doma,Cibona VIP,CIB,10,95,10.0,1.9
podaje,2005,doma,AJ Milano,MIL,7,89,7.0,2.5
podaje,2005,doma,Montepaschi Siena,SIE,7,87,7.0,2.49
podaje,2005,doma,Union Olimpija,LJU,7,85,7.0,2.39
podaje,2005,doma,Partizan,PAR,7,84,7.0,2.4
